;modelID;AUC;TSS;;;;;;;;;
1;1;0,997;0,997;;0,9942;0,991;0,9946;0,9924;0,9974;0,9962;0,996;0,9954
2;2;0,98;0,97;;;;;;;;;
3;3;0,997;0,994;;;;;;;;;
4;4;0,998;0,997;;;;;;;;;
5;5;0,999;0,997;;;;;;;;;
6;6;0,992;0,992;;;;;;;;;
7;7;0,982;0,973;;;;;;;;;
8;8;1;1;;;;;;;;;
9;9;0,999;0,997;;;;;;;;;
10;10;1;1;;;;;;;;;
11;11;1;1;;;;;;;;;
12;12;0,987;0,981;;;;;;;;;
13;13;1;1;;;;;;;;;
14;14;1;1;;;;;;;;;
15;15;1;1;;;;;;;;;
16;16;0,986;0,986;;;;;;;;;
17;17;1;1;;;;;;;;;
18;18;1;1;;;;;;;;;
19;19;0,997;0,994;;;;;;;;;
20;20;0,997;0,997;;;;;;;;;
