;modelID;AUC;TSS;;;;;;;;;
1;1;1;1;;0,9724;0,9408;0,9966;0,9884;0,9998;0,999;0,9992;0,9988
2;2;0,871;0,737;;;;;;;;;
3;3;0,999;0,997;;;;;;;;;
4;4;0,992;0,97;;;;;;;;;
5;5;1;1;;;;;;;;;
6;6;1;1;;;;;;;;;
7;7;0,986;0,945;;;;;;;;;
8;8;1;1;;;;;;;;;
9;9;0,997;0,997;;;;;;;;;
10;10;1;1;;;;;;;;;
11;11;1;1;;;;;;;;;
12;12;0,999;0,995;;;;;;;;;
13;13;1;1;;;;;;;;;
14;14;1;1;;;;;;;;;
15;15;1;1;;;;;;;;;
16;16;1;1;;;;;;;;;
17;17;0,999;0,997;;;;;;;;;
18;18;0,997;0,997;;;;;;;;;
19;19;1;1;;;;;;;;;
20;20;1;1;;;;;;;;;
