;modelID;AUC;TSS;;0,9758;0,8482;0,9896;0,9;0,9974;0,9474;0,9906;0,9484
1;1;0,966;0,763;;;;;;;;;
2;2;0,983;0,879;;;;;;;;;
3;3;0,972;0,849;;;;;;;;;
4;4;0,983;0,856;;;;;;;;;
5;5;0,975;0,894;;;;;;;;;
6;6;0,994;0,938;;;;;;;;;
7;7;0,989;0,893;;;;;;;;;
8;8;0,989;0,929;;;;;;;;;
9;9;0,995;0,899;;;;;;;;;
10;10;0,981;0,841;;;;;;;;;
11;11;0,999;0,989;;;;;;;;;
12;12;0,999;0,948;;;;;;;;;
13;13;0,997;0,909;;;;;;;;;
14;14;0,998;0,947;;;;;;;;;
15;15;0,994;0,944;;;;;;;;;
16;16;0,985;0,938;;;;;;;;;
17;17;0,993;0,939;;;;;;;;;
18;18;0,993;0,976;;;;;;;;;
19;19;0,996;0,947;;;;;;;;;
20;20;0,986;0,942;;;;;;;;;
