;modelID;AUC;TSS;;0,9594;0,9206;0,9988;0,9968;1;1;0,9982;0,9968
1;1;0,995;0,989;;;;;;;;;
2;2;0,995;0,995;;;;;;;;;
3;3;0,827;0,653;;;;;;;;;
4;4;0,985;0,974;;;;;;;;;
5;5;0,995;0,992;;;;;;;;;
6;6;0,997;0,989;;;;;;;;;
7;7;1;1;;;;;;;;;
8;8;1;1;;;;;;;;;
9;9;1;1;;;;;;;;;
10;10;0,997;0,995;;;;;;;;;
11;11;1;1;;;;;;;;;
12;12;1;1;;;;;;;;;
13;13;1;1;;;;;;;;;
14;14;1;1;;;;;;;;;
15;15;1;1;;;;;;;;;
16;16;0,999;0,995;;;;;;;;;
17;17;1;1;;;;;;;;;
18;18;0,997;0,997;;;;;;;;;
19;19;0,999;0,997;;;;;;;;;
20;20;0,996;0,995;;;;;;;;;
