;modelID;AUC;TSS;;0,9714;0,8442;0,9776;0,7766;0,986;0,8878;0,976;0,858
1;1;0,965;0,715;;;;;;;;;
2;2;0,984;0,962;;;;;;;;;
3;3;0,963;0,818;;;;;;;;;
4;4;0,977;0,949;;;;;;;;;
5;5;0,968;0,777;;;;;;;;;
6;6;0,977;0,713;;;;;;;;;
7;7;0,974;0,734;;;;;;;;;
8;8;0,981;0,831;;;;;;;;;
9;9;0,971;0,779;;;;;;;;;
10;10;0,985;0,826;;;;;;;;;
11;11;0,994;0,959;;;;;;;;;
12;12;0,988;0,943;;;;;;;;;
13;13;0,991;0,962;;;;;;;;;
14;14;0,978;0,779;;;;;;;;;
15;15;0,979;0,796;;;;;;;;;
16;16;0,983;0,78;;;;;;;;;
17;17;0,971;0,946;;;;;;;;;
18;18;0,967;0,818;;;;;;;;;
19;19;0,969;0,779;;;;;;;;;
20;20;0,99;0,967;;;;;;;;;
