;modelID;AUC;TSS;;0,9366;0,8686;0,9838;0,904;0,998;0,992;0,9954;0,9862
1;1;0,885;0,754;;;;;;;;;
2;2;1;1;;;;;;;;;
3;3;0,999;0,994;;;;;;;;;
4;4;1;1;;;;;;;;;
5;5;0,799;0,595;;;;;;;;;
6;6;0,974;0,663;;;;;;;;;
7;7;0,997;0,992;;;;;;;;;
8;8;0,997;0,983;;;;;;;;;
9;9;0,951;0,882;;;;;;;;;
10;10;1;1;;;;;;;;;
11;11;0,993;0,971;;;;;;;;;
12;12;1;1;;;;;;;;;
13;13;1;1;;;;;;;;;
14;14;0,997;0,989;;;;;;;;;
15;15;1;1;;;;;;;;;
16;16;0,991;0,962;;;;;;;;;
17;17;1;1;;;;;;;;;
18;18;0,999;0,997;;;;;;;;;
19;19;0,987;0,972;;;;;;;;;
20;20;1;1;;;;;;;;;
