;modelID;AUC;TSS;;0,986;0,9606;0,9862;0,885;0,999;0,996;0,9986;0,9934
1;1;1;1;;;;;;;;;
2;2;0,997;0,995;;;;;;;;;
3;3;0,943;0,857;;;;;;;;;
4;4;0,996;0,975;;;;;;;;;
5;5;0,994;0,976;;;;;;;;;
6;6;0,993;0,97;;;;;;;;;
7;7;0,999;0,995;;;;;;;;;
8;8;0,985;0,791;;;;;;;;;
9;9;1;1;;;;;;;;;
10;10;0,954;0,669;;;;;;;;;
11;11;1;1;;;;;;;;;
12;12;0,999;0,997;;;;;;;;;
13;13;0,999;0,991;;;;;;;;;
14;14;1;1;;;;;;;;;
15;15;0,997;0,992;;;;;;;;;
16;16;1;0,997;;;;;;;;;
17;17;0,997;0,992;;;;;;;;;
18;18;0,999;0,989;;;;;;;;;
19;19;0,999;0,997;;;;;;;;;
20;20;0,998;0,992;;;;;;;;;
