;modelID;AUC;TSS;;0,9616;0,9196;0,991;0,9738;0,996;0,9902;0,9966;0,9918
1;1;0,995;0,984;;;;;;;;;
2;2;0,826;0,642;;;;;;;;;
3;3;0,994;0,989;;;;;;;;;
4;4;0,998;0,997;;;;;;;;;
5;5;0,995;0,986;;;;;;;;;
6;6;0,998;0,992;;;;;;;;;
7;7;0,979;0,937;;;;;;;;;
8;8;1;1;;;;;;;;;
9;9;0,996;0,965;;;;;;;;;
10;10;0,982;0,975;;;;;;;;;
11;11;0,999;0,997;;;;;;;;;
12;12;0,987;0,962;;;;;;;;;
13;13;1;1;;;;;;;;;
14;14;1;1;;;;;;;;;
15;15;0,994;0,992;;;;;;;;;
16;16;0,998;0,997;;;;;;;;;
17;17;0,992;0,981;;;;;;;;;
18;18;1;1;;;;;;;;;
19;19;1;1;;;;;;;;;
20;20;0,993;0,981;;;;;;;;;
