;modelID;AUC;TSS;;0,9432;0,887;0,9782;0,9648;0,9914;0,9864;0,9948;0,9932
1;1;0,994;0,992;;;;;;;;;
2;2;0,743;0,471;;;;;;;;;
3;3;0,997;0,997;;;;;;;;;
4;4;0,989;0,989;;;;;;;;;
5;5;0,993;0,986;;;;;;;;;
6;6;0,999;0,997;;;;;;;;;
7;7;0,936;0,871;;;;;;;;;
8;8;0,983;0,983;;;;;;;;;
9;9;0,976;0,976;;;;;;;;;
10;10;0,997;0,997;;;;;;;;;
11;11;1;1;;;;;;;;;
12;12;0,976;0,951;;;;;;;;;
13;13;0,997;0,997;;;;;;;;;
14;14;0,984;0,984;;;;;;;;;
15;15;1;1;;;;;;;;;
16;16;0,997;0,997;;;;;;;;;
17;17;0,993;0,986;;;;;;;;;
18;18;0,997;0,997;;;;;;;;;
19;19;0,997;0,997;;;;;;;;;
20;20;0,99;0,989;;;;;;;;;
