;modelID;AUC;TSS;;0,9942;0,974;0,986;0,8772;0,9982;0,9838;0,9966;0,979
1;1;0,993;0,977;;;;;;;;;
2;2;0,995;0,974;;;;;;;;;
3;3;0,992;0,966;;;;;;;;;
4;4;0,996;0,974;;;;;;;;;
5;5;0,995;0,979;;;;;;;;;
6;6;0,984;0,866;;;;;;;;;
7;7;0,988;0,82;;;;;;;;;
8;8;0,964;0,74;;;;;;;;;
9;9;0,996;0,976;;;;;;;;;
10;10;0,998;0,984;;;;;;;;;
11;11;0,998;0,989;;;;;;;;;
12;12;0,997;0,967;;;;;;;;;
13;13;0,996;0,969;;;;;;;;;
14;14;1;0,997;;;;;;;;;
15;15;1;0,997;;;;;;;;;
16;16;0,993;0,969;;;;;;;;;
17;17;0,998;0,985;;;;;;;;;
18;18;0,996;0,98;;;;;;;;;
19;19;0,998;0,979;;;;;;;;;
20;20;0,998;0,982;;;;;;;;;
