;modelID;AUC;TSS;;0,985;0,8474;0,9832;0,8696;0,997;0,9694;0,9934;0,9194
1;1;0,995;0,857;;;;;;;;;
2;2;0,988;0,898;;;;;;;;;
3;3;1;0,997;;;;;;;;;
4;4;0,982;0,801;;;;;;;;;
5;5;0,96;0,684;;;;;;;;;
6;6;0,997;0,984;;;;;;;;;
7;7;0,947;0,631;;;;;;;;;
8;8;0,996;0,981;;;;;;;;;
9;9;0,988;0,801;;;;;;;;;
10;10;0,988;0,951;;;;;;;;;
11;11;0,999;0,997;;;;;;;;;
12;12;0,992;0,892;;;;;;;;;
13;13;1;1;;;;;;;;;
14;14;0,994;0,961;;;;;;;;;
15;15;1;0,997;;;;;;;;;
16;16;0,993;0,833;;;;;;;;;
17;17;0,995;0,967;;;;;;;;;
18;18;0,998;0,995;;;;;;;;;
19;19;0,989;0,824;;;;;;;;;
20;20;0,992;0,978;;;;;;;;;
