;modelID;AUC;TSS;;0,8526;0,7064;0,984;0,9814;0,9742;0,972;0,991;0,9872
1;1;0,996;0,995;;;;;;;;;
2;2;0,987;0,986;;;;;;;;;
3;3;0,788;0,562;;;;;;;;;
4;4;0,995;0,995;;;;;;;;;
5;5;0,497;-0,006;;;;;;;;;
6;6;0,998;0,997;;;;;;;;;
7;7;0,992;0,986;;;;;;;;;
8;8;0,996;0,992;;;;;;;;;
9;9;0,997;0,995;;;;;;;;;
10;10;0,937;0,937;;;;;;;;;
11;11;1;1;;;;;;;;;
12;12;1;1;;;;;;;;;
13;13;0,992;0,981;;;;;;;;;
14;14;1;1;;;;;;;;;
15;15;0,879;0,879;;;;;;;;;
16;16;0,998;0,997;;;;;;;;;
17;17;0,993;0,986;;;;;;;;;
18;18;0,991;0,981;;;;;;;;;
19;19;0,996;0,995;;;;;;;;;
20;20;0,977;0,977;;;;;;;;;
