;modelID;AUC;TSS;;0,9864;0,9042;0,993;0,9214;0,9978;0,9692;0,9946;0,969
1;1;0,986;0,848;;;;;;;;;
2;2;0,98;0,965;;;;;;;;;
3;3;0,983;0,93;;;;;;;;;
4;4;0,99;0,88;;;;;;;;;
5;5;0,993;0,898;;;;;;;;;
6;6;0,992;0,964;;;;;;;;;
7;7;0,994;0,864;;;;;;;;;
8;8;0,995;0,983;;;;;;;;;
9;9;0,989;0,874;;;;;;;;;
10;10;0,995;0,922;;;;;;;;;
11;11;0,998;0,983;;;;;;;;;
12;12;0,999;0,992;;;;;;;;;
13;13;0,998;0,986;;;;;;;;;
14;14;0,995;0,896;;;;;;;;;
15;15;0,999;0,989;;;;;;;;;
16;16;0,996;0,975;;;;;;;;;
17;17;0,996;0,984;;;;;;;;;
18;18;0,994;0,981;;;;;;;;;
19;19;0,991;0,973;;;;;;;;;
20;20;0,996;0,932;;;;;;;;;
