;modelID;AUC;TSS;;0,9868;0,8834;0,982;0,8554;0,9928;0,925;0,9896;0,912
1;1;0,993;0,899;;;;;;;;;
2;2;0,985;0,885;;;;;;;;;
3;3;0,988;0,849;;;;;;;;;
4;4;0,977;0,91;;;;;;;;;
5;5;0,991;0,874;;;;;;;;;
6;6;0,996;0,904;;;;;;;;;
7;7;0,967;0,764;;;;;;;;;
8;8;0,986;0,849;;;;;;;;;
9;9;0,985;0,902;;;;;;;;;
10;10;0,976;0,858;;;;;;;;;
11;11;0,999;0,994;;;;;;;;;
12;12;0,981;0,858;;;;;;;;;
13;13;0,998;0,989;;;;;;;;;
14;14;0,994;0,91;;;;;;;;;
15;15;0,992;0,874;;;;;;;;;
16;16;0,991;0,896;;;;;;;;;
17;17;0,988;0,893;;;;;;;;;
18;18;0,989;0,962;;;;;;;;;
19;19;0,986;0,91;;;;;;;;;
20;20;0,994;0,899;;;;;;;;;
