;modelID;AUC;TSS;;0,966;0,8854;0,9464;0,823;0,9914;0,958;0,9898;0,913
1;1;0,993;0,989;;;;;;;;;
2;2;0,981;0,878;;;;;;;;;
3;3;0,866;0,71;;;;;;;;;
4;4;0,993;0,855;;;;;;;;;
5;5;0,997;0,995;;;;;;;;;
6;6;0,995;0,967;;;;;;;;;
7;7;0,959;0,789;;;;;;;;;
8;8;0,807;0,52;;;;;;;;;
9;9;0,981;0,858;;;;;;;;;
10;10;0,99;0,981;;;;;;;;;
11;11;0,996;0,992;;;;;;;;;
12;12;0,984;0,889;;;;;;;;;
13;13;0,983;0,937;;;;;;;;;
14;14;0,996;0,977;;;;;;;;;
15;15;0,998;0,995;;;;;;;;;
16;16;0,996;0,983;;;;;;;;;
17;17;0,991;0,889;;;;;;;;;
18;18;0,97;0,823;;;;;;;;;
19;19;0,994;0,873;;;;;;;;;
20;20;0,998;0,997;;;;;;;;;
