;modelID;AUC;TSS;;0,9922;0,9428;0,9942;0,921;0,9984;0,9772;0,992;0,9472
1;1;0,997;0,987;;;;;;;;;
2;2;0,993;0,921;;;;;;;;;
3;3;0,997;0,983;;;;;;;;;
4;4;0,988;0,905;;;;;;;;;
5;5;0,986;0,918;;;;;;;;;
6;6;0,996;0,947;;;;;;;;;
7;7;0,997;0,921;;;;;;;;;
8;8;0,999;0,942;;;;;;;;;
9;9;0,995;0,922;;;;;;;;;
10;10;0,984;0,873;;;;;;;;;
11;11;1;0,992;;;;;;;;;
12;12;0,999;0,982;;;;;;;;;
13;13;1;0,997;;;;;;;;;
14;14;1;0,997;;;;;;;;;
15;15;0,993;0,918;;;;;;;;;
16;16;0,994;0,987;;;;;;;;;
17;17;0,995;0,921;;;;;;;;;
18;18;0,997;0,986;;;;;;;;;
19;19;0,99;0,919;;;;;;;;;
20;20;0,984;0,923;;;;;;;;;
