;modelID;AUC;TSS;;0,9978;0,9724;0,9974;0,9684;0,9994;0,9918;0,998;0,99
1;1;0,999;0,995;;;;;;;;;
2;2;0,997;0,987;;;;;;;;;
3;3;0,999;0,992;;;;;;;;;
4;4;0,996;0,981;;;;;;;;;
5;5;0,998;0,907;;;;;;;;;
6;6;0,996;0,978;;;;;;;;;
7;7;0,997;0,992;;;;;;;;;
8;8;0,996;0,899;;;;;;;;;
9;9;0,998;0,981;;;;;;;;;
10;10;1;0,992;;;;;;;;;
11;11;0,999;0,984;;;;;;;;;
12;12;1;0,997;;;;;;;;;
13;13;1;0,997;;;;;;;;;
14;14;0,998;0,981;;;;;;;;;
15;15;1;1;;;;;;;;;
16;16;0,999;0,995;;;;;;;;;
17;17;0,996;0,987;;;;;;;;;
18;18;0,999;0,994;;;;;;;;;
19;19;0,997;0,992;;;;;;;;;
20;20;0,999;0,982;;;;;;;;;
