;modelID;AUC;TSS;;0,9942;0,9898;0,8952;0,859;0,9898;0,9846;0,9938;0,9898
1;1;0,996;0,984;;;;;;;;;
2;2;0,997;0,997;;;;;;;;;
3;3;0,996;0,992;;;;;;;;;
4;4;0,995;0,995;;;;;;;;;
5;5;0,987;0,981;;;;;;;;;
6;6;0,476;0,295;;;;;;;;;
7;7;1;1;;;;;;;;;
8;8;1;1;;;;;;;;;
9;9;1;1;;;;;;;;;
10;10;1;1;;;;;;;;;
11;11;0,949;0,923;;;;;;;;;
12;12;1;1;;;;;;;;;
13;13;1;1;;;;;;;;;
14;14;1;1;;;;;;;;;
15;15;1;1;;;;;;;;;
16;16;0,99;0,981;;;;;;;;;
17;17;0,989;0,989;;;;;;;;;
18;18;0,998;0,995;;;;;;;;;
19;19;0,996;0,995;;;;;;;;;
20;20;0,996;0,989;;;;;;;;;
