bibliographicCitation,collectionCode,catalogNumber,scientificName,recordNumber,recordedBy,year,month,day,identifiedBy,dateIdentified,det_ok,country,stateProvince,municipality,locality,decimalLongitude,decimalLatitude,Georef,Qual_data
Reflora,SPF,SPF00225153,Chamaecrista anceps,410,"Cota, M.M.T.",2012,12,3,Administrador,6/8/2019,2,Brasil,Minas Gerais,Diamantina,,"-433,406","-181,142",0,1
SpeciesLink,SPF,221944,Chamaecrista anceps,703,"Cota, M.M.T.",2014,5,23,"Cota, MMT",/06/2014,1,Brasil,Minas Gerais,Diamantina,Campus JK da UFVJM. Perto da estrada que vai até o córrego soberbo; atrás da pocilga.,"-435,704","-181,981",0,1
SpeciesLink,HRCB,29003,Chamaecrista anceps,60,"Farinaccio, M.A.",1997,6,7,"Rando, J.",/07/2008,2,Brasil,Minas Gerais,Santana do Riacho/Cardeal,Serra do Cipó,"-435,527","-19,258",1,0
SpeciesLink,VIC,36985,Chamaecrista aristata,96,"Coutinho, Í.A.C.; et al.",2012,8,14,"Coutinho, Í.A.C.",2012 08 14,0,Brazil,Minas Gerais,Grão Mogol,"Parque Estadual Grão Mogol, Solo areno-pedregoso de campo rupestre.","-429,136","-165,953",0,1
Reflora,NY,959453,Chamaecrista aristata,451,"Mello-Silva, R.",1991,6,12,"Barneby, R.C.",- - -,2,Brazil,Minas Gerais,,"Extremidade norte da Serra da Bocaina, na rodovia BR 251. Nascente do Rio Ventania","-427,666","-16,316",1,1
SpeciesLink,HUEFS,75077,Chamaecrista aristata,715,"Conceição, A.S.",2003,9,9,"Conceição, A.S.",2005 12 -,2,Brazil,Minas Gerais,Grão Mogol,Serra do Barão.,"-428,903","-165,544",0,1
J.G. Rando,SPF,,Chamaecrista aristata,976,"Rando, J.G.",2011,4,12,"Rando, J.G.",,2,Brazil,Minas Gerais,Grão Mogol,Serra de Grão Mogol,"-429,011","-165,904",0,1
SpeciesLink,HUEFS,243431,Chamaecrista aristata,994,"Cota, M.M.T.",2017,6,25,,- - -,0,Brazil,Minas Gerais,Grão Mogol,"Estrada de Cristália-Grão Mogol, MG-307, próximo a entrada da cidade de Grão Mogol e próximo ao rio Itacambiruçu.","-428,925","-165,928",0,1
SpeciesLink,SPF,217210,Chamaecrista aristata,3357,"Fraga, C.N.",2011,6,5,"Cota, M.M.T",2015 04 -,1,Brazil,Minas Gerais,,"Estrada de Grão Mogol para a BR 152, Vale do Rio Itacambiruçu, Jambreiro.","-429,128","-165,928",0,1
SpeciesLink,SPF,217211,Chamaecrista aristata,3359,"Fraga, C.N.",2011,6,5,"Cota, M.M.T",2015 04 -,1,Brazil,Minas Gerais,,"Estrada de Grão Mogol para a BR 152, Vale do Rio Itacambiruçu, Jambreiro.","-429,128","-165,928",0,1
Reflora,NY,978863,Chamaecrista aristata,6548,"Carvalho, A.M.V",1998,8,2,"Rando, J.G.",- - -,2,Brazil,Minas Gerais,,"Grao Mogol, atrás da cidade. Trilha do Barão","-42,895","-16,55",0,1
Reflora,SPF,226239,Chamaecrista aristata,7065,"Verdi, M.",2014,4,24,Administrador,2019 8 6,2,Brazil,Minas Gerais,Grão Mogol,"Parque Estadual de Grão Mogol. Serra do Curiacá, a partir da floresta no início dos campos rupestres até o ponto georreferenciado (meio encosta).","-428,786","-163,586",0,1
J.G. Rando,HUEFS,,Chamaecrista aristata,7528,"Queiroz, L.P.",2003,3,8,"Rando, J.G.",,2,Brazil,Minas Gerais,Grão Mogol,Serra de Grão Mogol,"-428,953","-165,556",0,1
Reflora,HUEFS,31023,Chamaecrista aristata,10016,"Mello-Silva, R.",,,,Administrador,2017 9 22,0,Brazil,Minas Gerais,Grão Mogol,Rib. dos Bois,"-428,875","-165,738",1,1
Reflora,NY,959454,Chamaecrista aristata,11236,"Martinelli, G., G.",,,,Sem determinador,- - -,2,Brazil,Minas Gerais,Grão Mogol,"Estrada para Cristália, e a 4-6 km de Grao Mogol, próximo ao rio Itacambirissú","-428,741","-16,588",1,1
SpeciesLink,US,2801771,Chamaecrista aristata,23409,"Irwin, H.S., R. G. P. Santos, R. Souza & S. F. Fonsêca",1969,2,16,"Irwin, H.S.; Barneby, R.C.",- - -,2,Brazil,Minas Gerais,,Ca 7 km w of Grao Mogol; Serra do Espinhaco,"-429,601","-165,669",1,1
J.G. Rando,ESA,,Chamaecrista aristata,25670,"Souza, V.C.",2001,7,11,"Rando, J.G.",,2,Brazil,Minas Gerais,Grão Mogol,"Estrada Grão Mogol - Cristália, ca. 6 km de Grão Mogol","-429,014","-165,964",0,1
SpeciesLink,MBM,58674,Chamaecrista aristata,41465,"Hatschbach, G.",,,,"Barneby, R.C.",- - -,2,Brazil,Minas Gerais,Grão Mogol,"Grão Mogol, arredores","-428,892","-165,592",0,1
J.G. Rando,"BHCB, ESA, MBM",228241,Chamaecrista aristata,67980,"Hatschbach, G.",1998,7,18,"Rando, J.G.",,2,Brazil,Minas Gerais,Grão Mogol,"Estrada Grão Mogol para Cristália, ponte sobre Rio Itacambiruçu","-429,021","-165,594",1,1
SpeciesLink,MBM,259150,Chamaecrista aristata,72064,"Hatschbach, G.",2001,5,15,"Souza, V.C.",- - -,2,Brazil,Minas Gerais,Joaquim Felício,Serra do Cabral,"-442,622","-17,698",1,1
SpeciesLink,SPF,194039,Chamaecrista arrojadoana,1,"Siniscalchi, C.M.",2009,7,22,"Rando, J.G.",//,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Antigo km 113 da rodovia que liga Belo Horizonte à Conceição do Mato Dentro (MG 010). Em encosta próxima à rodovia.","-43,638","-19,349",0,1
Reflora,CEN,CEN00042608,Chamaecrista arrojadoana,3,"Fernandes, G. W.",1994,9,17,"Rando, J.G.",--/--/2010,1,Brazil,Minas Gerais,Jaboticatubas,Serra do Cipó,"-43,54","-19,388",2,1
SpeciesLink,SPF,181864,Chamaecrista arrojadoana,7,"El Ottra, J.H.L.",2006,7,27,"Rando, J.G.",/07/1997,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Trilha da cachoeira da Farofa.","-43,644","-19,36",0,1
SpeciesLink,SPF,109925,Chamaecrista arrojadoana,13,"Hervêncio, P.",1995,9,3,"Hervêncio, P.",/06/2008,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Estrada MG010 km 125. Belo Horizonte - Conceição do mato Dentro, próximo à estátua do Velho Juca.","-43,557","-19,285",1,1
SpeciesLink,NYBG_BR,978954,Chamaecrista arrojadoana,41,"Madsen, V.",1998,7,5,"Barneby, R.C.",/07/2008,1,Brazil,Minas Gerais,,"Serra da Moeda, Brumadinho","-43,984","-20,099",0,1
SpeciesLink,BHZB,5564,Chamaecrista arrojadoana,41,"Silveira, V.M. et al.",1998,7,5,"Rando, J.G..",//,1,Brasil,MG,Brumadinho,Serra da Moeda,"-43,983","-20,1",0,1
SpeciesLink,UB,207843,Chamaecrista arrojadoana,49,"Schliewe, M.A.",2014,11,30,"Cota, M.M.T.",//,1,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cipó, trilha do Capão","-43,507","-19,23",1,1
SpeciesLink,SPF,171743,Chamaecrista arrojadoana,55,"Sato, C.S.",2005,8,11,"Rando, J.G.",//2015,2,Brasil,Minas Gerais,Santana do Riacho,Parque Nacional da Serra do Cipó,"-43,573","-19,169",1,1
SpeciesLink,SPF,113431,Chamaecrista arrojadoana,65,"Hervêncio, P.",1996,2,14,"Hervêncio, P.",//2013,1,Brasil,Minas Gerais,Morro do Pilar,"Serra do Cipó, 1 km após o entrocamento para Conceição do Mato Dentro.","-43,499","-19,221",1,1
SpeciesLink,HUEFS,216051,Chamaecrista arrojadoana,70,"Alves, P.A.C.",2015,2,3,"Cota, M.M.T.",/02/2017,1,Brasil,Bahia,Lençóis,"Trilha para o Poço do diabo, paralelo ao leito do rio.","-41,415","-12,462",0,1
SpeciesLink,HUEFS,44410,Chamaecrista arrojadoana,82,"Costa, F.N.",1999,9,24,"Queiroz, L.P.",/07/2008,1,Brasil,Minas Gerais,Jaboticatubas,Parque Nacional da Serra do Cipó. Trilha sede do IBAMA-Canyon das Bandeirinhas.,"-43,531","-19,169",1,1
SpeciesLink,SPF,152195,Chamaecrista arrojadoana,85,"Silva, M.M.",1998,7,5,"Rando, J.G.",24/06/1997,1,Brasil,Bahia,Palmeiras,Morro do Pai Inácio,"-41,472","-12,459",1,1
SpeciesLink,HUEFS,107551,Chamaecrista arrojadoana,91,"Barreto, V.",2005,7,2,,/09/2006,2,Brasil,Bahia,Miguel Calmon,Trilha da Cachoeira do Sinvaldo.,"-40,517","-11,383",0,1
SpeciesLink,NYBG_BR,978931,Chamaecrista arrojadoana,91,"Madsen, V.",1998,9,20,"Barneby, R.C.",//1976,2,Brazil,Minas Gerais,Brumadinho,"Serra da Moeda, Brumadinho","-43,984","-20,1",1,1
SpeciesLink,HUEFS,181441,Chamaecrista arrojadoana,308,"Silva, C.",2011,5,29,"Rando, J.G.",/11/1997,1,Brasil,Bahia,Palmeiras,"Morro do Pai Inácio, Chapada Diamantina.","-41,467","-12,45",0,1
SpeciesLink,VIC,42398,Chamaecrista arrojadoana,371,"Coutinho, Í.A.C.",2014,3,22,"Coutinho, Í.A.C.",//,1,Brasil,Minas Gerais,Jaboticatubas,Alto palácio próximo a Vellozia gigantea.,"-43,531","-19,259",1,1
SpeciesLink,MBM,269009,Chamaecrista arrojadoana,397,"Conceição, A.S.",1999,9,19,"Conceição, A.S.",//,2,Brazil,Bahia,Abaíra,"Catolés, Bicota","-41,856","-13,337",1,1
SpeciesLink,CEPEC,69342,Chamaecrista arrojadoana,417,"Orlandi, R.P.",1994,8,29,"Conceição, A.S.",//,2,Brasil,Bahia,palmeiras,Pai Inacio.,"-41,471","-12,456",0,1
SpeciesLink,ALCB,45757,Chamaecrista arrojadoana,424,"Conceição, A.S.; Campos, G.L.; Carneiro-Torres, D.S.; Miranda Silva, E.B.",1999,10,23,"Conceição, A.S.",/10/1999,2,Brasil,Bahia,Abaíra,"Chapada Diamantina, Catolés, Campo do Courvão","-41,783","-13,267",0,1
SpeciesLink,ESA,109001,Chamaecrista arrojadoana,508,"Rando, J.G.",2008,1,8,"Rando, J.G.",8/1/2008,2,Brasil,Minas Gerais,Jaboticatubas,,"-43,623","-19,349",0,1
J.G. Rando,"SPF, ESA",,Chamaecrista arrojadoana,512,"Rando, J.G.",2008,1,8,"Rando, J.G.",,1,Brasil,Minas Gerais,Santana do Riacho,Próximo ao segundo portão depois da Sede do IBAMA.,"-43,531","-19,349",1,1
SpeciesLink,CEPEC,68071,Chamaecrista arrojadoana,555,"Guedes, M.L.",1994,8,30,"Conceição, A.S.",//,1,Brasil,Bahia,palmeiras,"Pai Inacio, lado oposto da torre de repetição.","-41,472","-12,45",0,1
J.G. Rando,HUEFS,,Chamaecrista arrojadoana,590,"Conceição, A.S.",2003,5,31,"Rando, J.G.",,2,Brasil,Bahia,Abaíra,"Catolés, Serrinha","-41,852","-13,319",0,1
SpeciesLink,HUEFS,96986,Chamaecrista arrojadoana,597,"Cardoso, D.",2005,6,19,"Conceição, A.S.",/04/2006,1,Brasil,Bahia,Mucugê,Parque Nacional da Chapada Diamantina. Gerais do rio Preto.,"-41,467","-12,767",0,1
SpeciesLink,BHCB,199298,Chamaecrista arrojadoana,602,"Rando, J.G.; Shimizu, G.H.; Borges, L.M.",2008,10,28,,2/12/2009,2,Brasil,Minas Gerais,Morro do Pilar,"Serra do Cipó, Entrada da trilha para as Vellozia gigantea.","-43,518","-19,247",1,1
SpeciesLink,NYBG,777465,Chamaecrista arrojadoana,612,"Ganev, W.",1992,7,6,"Queiroz, L.P.; Hervêncio, P.",//1997,2,Brazil,Bahia,Abaíra,Tanque do Boi,"-41,9","-13,267",2,1
SpeciesLink,HUEFS,6395,Chamaecrista arrojadoana,645,"Queiroz, L.P.",1983,6,29,"Conceição, A.S.",/05/2000,1,Brasil,Bahia,Lençóis,Chapada Diamantina,"-41,383","-12,567",0,1
