bibliographicCitation,collectionCode,catalogNumber,family,genus,scientificName,recordNumber,recordedBy,year,month,day,identifiedBy,dateIdentified,det_ok,country,stateProvince,municipality,locality,decimalLongitude,decimalLatitude,Georef
Reflora,SPF,SPF00225153,Fabaceae,Chamaecrista,Chamaecrista anceps,410,"Cota, M.M.T.",2012,12,3,Administrador,6/8/19,2,Brasil,Minas Gerais,Diamantina,,-43.3406,-18.1142,0
SpeciesLink,SPF,221944,Fabaceae,Chamaecrista,Chamaecrista anceps,703,"Cota, M.M.T.",2014,5,23,"Cota, MMT",/06/2014,1,Brasil,Minas Gerais,Diamantina,Campus JK da UFVJM. Perto da estrada que vai atŽ o c—rrego soberbo; atr‡s da pocilga.,-43.5704,-18.1981,0
SpeciesLink,HRCB,29003,Fabaceae,Chamaecrista,Chamaecrista anceps,60,"Farinaccio, M.A.",1997,6,7,"Rando, J.",/07/2008,2,Brasil,Minas Gerais,Santana do Riacho/Cardeal,Serra do Cip—,-43.5527,-19.258,1
SpeciesLink,VIC,36985,Fabaceae,Chamaecrista,Chamaecrista aristata,96,"Coutinho, Í.A.C.; et al.",2012,8,14,"Coutinho, Í.A.C.",2012 08 14,0,Brazil,Minas Gerais,Gr‹o Mogol,"Parque Estadual Gr‹o Mogol, Solo areno-pedregoso de campo rupestre.",-42.9136,-16.5953,0
Reflora,NY,959453,Fabaceae,Chamaecrista,Chamaecrista aristata,451,"Mello-Silva, R.",1991,6,12,"Barneby, R.C.",NA,2,Brazil,Minas Gerais,,"Extremidade norte da Serra da Bocaina, na rodovia BR 251. Nascente do Rio Ventania",-42.7666,-16.316,1
SpeciesLink,HUEFS,75077,Fabaceae,Chamaecrista,Chamaecrista aristata,715,"Conceição, A.S.",2003,9,9,"Concei‹o, A.S.",2005 12 -,2,Brazil,Minas Gerais,Gr‹o Mogol,Serra do Bar‹o.,-42.8903,-16.5544,0
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista aristata,976,"Rando, J.G.",2011,4,12,"Rando, J.G.",NA,2,Brazil,Minas Gerais,Gr‹o Mogol,Serra de Gr‹o Mogol,-42.9011,-16.5904,0
SpeciesLink,HUEFS,243431,Fabaceae,Chamaecrista,Chamaecrista aristata,994,"Cota, M.M.T.",2017,6,25,NA,NA,0,Brazil,Minas Gerais,Gr‹o Mogol,"Estrada de Crist‡lia-Gr‹o Mogol, MG-307, pr—ximo a entrada da cidade de Gr‹o Mogol e pr—ximo ao rio Itacambiruu.",-42.8925,-16.5928,0
SpeciesLink,SPF,217210,Fabaceae,Chamaecrista,Chamaecrista aristata,3357,"Fraga, C.N.",2011,6,5,"Cota, M.M.T",2015 04 -,1,Brazil,Minas Gerais,,"Estrada de Gr‹o Mogol para a BR 152, Vale do Rio Itacambiruu, Jambreiro.",-42.9128,-16.5928,0
SpeciesLink,SPF,217211,Fabaceae,Chamaecrista,Chamaecrista aristata,3359,"Fraga, C.N.",2011,6,5,"Cota, M.M.T",2015 04 -,1,Brazil,Minas Gerais,,"Estrada de Gr‹o Mogol para a BR 152, Vale do Rio Itacambiruu, Jambreiro.",-42.9128,-16.5928,0
Reflora,NY,978863,Fabaceae,Chamaecrista,Chamaecrista aristata,6548,"Carvalho, A.M.V",1998,8,2,"Rando, J.G.",NA,2,Brazil,Minas Gerais,,"Grao Mogol, atr‡s da cidade. Trilha do Bar‹o",-42.895,-16.55,0
Reflora,SPF,226239,Fabaceae,Chamaecrista,Chamaecrista aristata,7065,"Verdi, M.",2014,4,24,Administrador,2019 8 6,2,Brazil,Minas Gerais,Gr‹o Mogol,"Parque Estadual de Gr‹o Mogol. Serra do Curiac‡, a partir da floresta no in’cio dos campos rupestres atŽ o ponto georreferenciado (meio encosta).",-42.8786,-16.3586,0
JG Rando,HUEFS,,Fabaceae,Chamaecrista,Chamaecrista aristata,7528,"Queiroz, L.P.",2003,3,8,"Rando, J.G.",NA,2,Brazil,Minas Gerais,Gr‹o Mogol,Serra de Gr‹o Mogol,-42.8953,-16.5556,0
Reflora,HUEFS,31023,Fabaceae,Chamaecrista,Chamaecrista aristata,10016,"Mello-Silva, R.",NA,NA,NA,Administrador,2017 9 22,0,Brazil,Minas Gerais,Gr‹o Mogol,Rib. dos Bois,-42.8875,-16.5738,1
Reflora,NY,959454,Fabaceae,Chamaecrista,Chamaecrista aristata,11236,"Martinelli, G., G.",NA,NA,NA,Sem determinador,NA,2,Brazil,Minas Gerais,Gr‹o Mogol,"Estrada para Crist‡lia, e a 4-6 km de Grao Mogol, pr—ximo ao rio Itacambiruu",-42.8741,-16.588,1
SpeciesLink,US,2801771,Fabaceae,Chamaecrista,Chamaecrista aristata,23409,"Irwin, H.S., R. G. P. Santos, R. Souza & S. F. Fonsêca",1969,2,16,"Irwin, H.S.; Barneby, R.C.",NA,2,Brazil,Minas Gerais,,Ca 7 km w of Grao Mogol; Serra do Espinhaco,-42.9601,-16.5669,1
